sex,height_cm,weight_kg,arm_span_cm,climbing_years,max_boulder_grade,climbing_frequency,climbing_hours,training_hours,hangboard_frequency,campus_frequency,campus_hours,endurance_frequency,general_stength_frequency,general_strength_hours,max_pull_ups,trains_full_crimp,trains_half_crimp,trains_open_crimp,trains_front_3,trains_back_3,trains_front_2,trains_middle_2,trains_back_2,trains_slopers,trains_pinch,trains_monos,trains_repeaters,trains_max_weight,trains_min_edge,trains_one_arm_hang,trains_no_hangs,trains_other_protocol,trains_laps_of_routes,trains_4x4,trains_arc,trains_systems_boards,trains_max_moves,trains_route_climbing_intervals,trains_threshold_intervals,trains_antagonists,trains_legs,trains_core,trains_upper_body_pulling,trains_upper_body_pushing,climbs_indoors,climbs_outdoors,boulders,route_climbs,cardio,yoga
True,173.0,77.0,178.0,4.75,8,4,8,6,0,0,0,1,3,4,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False
True,180.0,81.0,180.0,3.25,3,1,3,10,2,0,0,1,2,2,11,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,True
True,178.0,67.0,175.0,0.75,7,3,4,3,2,0,0,2,3,2,17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,False
True,173.0,70.0,178.0,9.25,5,2,6,1,1,0,0,1,0,0,8,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True,True,True,True,False,False
True,184.0,84.0,197.0,6.75,10,6,10,2,4,0,0,2,2,1,,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False
True,176.0,67.0,170.0,5.25,7,0,0,0,0,0,0,0,4,6,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
True,184.0,75.0,181.0,1.25,4,2,4,0,0,0,0,0,2,4,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,False
True,186.0,88.0,192.0,1.75,5,3,8,8,1,0,0,2,3,4,9,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False
True,185.0,60.0,180.0,0.75,2,1,3,1,0,0,0,0,1,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
True,180.0,80.0,,8.75,9,4,3,8,2,1,1,0,1,2,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False
True,178.0,81.6,178.0,5.75,7,2,4,0,1,0,0,2,3,3,7,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,False
True,175.0,60.0,180.0,5.75,8,2,6,0,0,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False
False,168.0,54.0,170.0,1.25,6,4,8,8,2,0,0,1,4,2,12,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,True,False
False,157.5,50.8,158.0,2.75,4,2,4,1,0,0,0,1,2,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False
True,163.0,65.0,165.0,5.25,11,4,12,4,1,2,1,0,0,0,35,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False
True,174.0,70.0,178.0,1.25,3,0,1,0,0,0,0,0,2,2,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
True,188.0,100.0,195.6,3.75,9,4,10,3,2,0,0,1,3,1,20,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,True,True,True,True,True,False
False,164.0,53.0,170.0,2.25,6,3,6,3,0,0,0,0,3,3,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False
True,176.0,60.0,177.0,2.75,7,3,8,2,1,0,0,0,1,1,10,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False
True,175.0,63.5,180.0,3.75,10,3,9,3,3,0,0,0,3,2,,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False
True,190.0,82.0,197.0,2.75,6,3,4,2,2,0,0,2,2,2,10,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False
True,177.0,66.0,178.0,7.75,7,3,8,1,0,0,0,1,1,1,20,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False
True,179.0,69.0,178.0,12.25,10,3,5,7,3,2,1,0,3,5,12,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False
True,185.4,82.0,186.0,4.25,7,3,4,2,2,0,0,1,1,1,,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False
False,165.1,53.0,165.1,3.75,3,5,10,3,1,0,0,0,3,2,5,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False
False,157.0,47.0,155.0,8.25,,4,6,6,0,3,4,1,2,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,False
True,180.0,79.5,185.0,0.25,4,3,6,3,0,0,0,2,2,2,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,False,False
True,186.0,73.0,190.0,2.25,5,2,6,1,0,0,0,1,1,1,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False
True,183.0,100.0,185.0,2.25,6,2,4,0,0,0,0,0,2,2,12,False,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False
True,167.0,60.0,179.0,3.75,9,3,6,3,3,0,0,0,2,2,13,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False
True,173.0,86.0,173.0,1.75,6,3,4,4,2,2,2,2,4,8,32,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True
True,182.0,72.0,182.0,15.25,11,3,4,2,3,1,1,1,2,1,25,False,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False
True,170.0,64.0,165.0,0.75,6,1,3,3,0,0,0,0,0,0,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False
True,182.0,76.0,180.0,4.75,6,1,3,3,1,0,0,0,1,2,10,False,True,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False
True,175.0,80.28594497010823,168.0,3.75,9,2,5,3,0,0,0,0,3,6,25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
True,178.0,70.3,178.0,0.25,4,3,5,3,0,0,0,0,3,3,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,False
True,183.0,80.0,187.0,1.75,4,3,6,0,0,0,0,0,2,4,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
True,175.0,85.0,180.0,3.25,8,4,8,3,2,1,1,2,3,4,,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False
True,182.0,73.0,184.0,14.75,8,3,2,5,2,0,0,0,5,3,15,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
True,173.0,58.0,173.0,1.75,8,2,5,2,2,0,0,2,2,2,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,True,True,False,False
True,184.0,78.01798042293004,184.0,8.25,11,3,7,5,3,2,1,0,3,2,13,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
True,193.0,79.0,193.0,2.25,8,3,7,6,3,0,0,0,3,6,20,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False
True,174.0,65.0,176.0,1.25,5,3,8,1,0,0,0,0,1,1,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
True,186.0,72.5,190.0,2.25,8,4,8,8,3,0,0,3,3,6,20,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False
True,188.0,73.0,189.0,0.25,,1,3,8,0,0,0,2,2,4,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
False,172.72,79.3787,,2.75,3,4,10,2,0,1,1,1,2,3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
True,182.0,79.0,184.0,2.75,6,3,10,1,0,0,0,0,3,7,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False
True,178.0,74.0,170.0,0.75,5,4,10,0,0,0,0,1,3,3,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False
True,170.0,59.0,172.0,2.75,8,5,17,3,1,1,1,2,2,2,20,False,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False
False,168.0,69.0,165.0,4.75,6,4,8,1,0,0,0,1,1,2,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True
True,185.0,79.0,185.0,2.75,6,5,12,2,2,1,1,0,2,1,,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,False,False
True,195.0,85.0,,1.75,5,3,5,2,0,1,1,1,1,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False
True,176.0,63.5,175.0,2.75,9,3,8,4,3,0,0,0,4,4,,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True
False,165.0,56.0,165.0,3.25,6,3,9,2,1,1,1,0,2,4,,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
True,178.0,72.0,180.0,10.25,9,4,7,6,3,0,0,1,2,1,18,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False
True,185.0,73.0,187.0,6.75,11,5,10,6,2,0,0,0,2,1,,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False
True,182.8,76.0,189.0,15.25,8,2,4,8,3,1,1,1,1,1,12,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,False
True,178.0,72.0,178.0,1.75,8,3,10,3,1,0,0,1,3,2,10,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True
True,180.0,86.0,177.0,0.75,7,3,9,2,1,1,1,1,0,0,45,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False
True,174.0,75.0,180.0,11.75,6,3,8,0,2,0,0,1,0,0,20,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False
