sex,height_cm,weight_kg,arm_span_cm,climbing_years,climbing_frequency,training_hours,hangboard_frequency,campus_frequency,endurance_frequency,general_strength_frequency,max_pull_ups,trains_full_crimp,trains_half_crimp,trains_open_crimp,trains_front_3,trains_back_3,trains_front_2,trains_middle_2,trains_back_2,trains_slopers,trains_pinch,trains_monos,trains_repeaters,trains_max_weight,trains_min_edge,trains_one_arm_hang,trains_no_hangs,trains_other_protocol,trains_laps_of_routes,trains_4x4,trains_arc,trains_systems_boards,trains_max_moves,trains_route_climbing_intervals,trains_threshold_intervals,trains_antagonists,trains_legs,trains_core,trains_upper_body_pulling,trains_upper_body_pushing,climbs_indoors,climbs_outdoors,boulders,route_climbs,cardio,yoga,climbing_session_length,general_strength_session_length,campus_session_length,max_boulder_grade
True,173.0,77.0,178.0,4.75,4,6,0,0,1,3,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,2.0,1.3333333333333333,0.0,8
True,180.0,81.0,180.0,3.25,1,10,2,0,1,2,11,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,3.0,1.0,0.0,3
True,178.0,67.0,175.0,0.75,3,3,2,0,2,3,17,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,False,1.3333333333333333,0.6666666666666666,0.0,7
True,173.0,70.0,178.0,9.25,2,1,1,0,1,0,8,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,3.0,0.0,0.0,5
True,184.0,84.0,197.0,6.75,6,2,4,0,2,2,,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,1.6666666666666667,0.5,0.0,10
True,176.0,67.0,170.0,5.25,0,0,0,0,0,4,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,0.0,1.5,0.0,7
True,184.0,75.0,181.0,1.25,2,0,0,0,0,2,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,2.0,2.0,0.0,4
True,186.0,88.0,192.0,1.75,3,8,1,0,2,3,9,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,True,False,2.6666666666666665,1.3333333333333333,0.0,5
True,185.0,60.0,180.0,0.75,1,1,0,0,0,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,3.0,1.0,0.0,2
True,180.0,80.0,,8.75,4,8,2,1,0,1,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,0.75,2.0,1.0,9
True,178.0,81.6,178.0,5.75,2,0,1,0,2,3,7,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,2.0,1.0,0.0,7
True,175.0,60.0,180.0,5.75,2,0,0,0,0,0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,3.0,0.0,0.0,8
False,168.0,54.0,170.0,1.25,4,8,2,0,1,4,12,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,2.0,0.5,0.0,6
False,157.5,50.8,158.0,2.75,2,1,0,0,1,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,True,True,False,False,True,False,2.0,1.0,0.0,4
True,163.0,65.0,165.0,5.25,4,4,1,2,0,0,35,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,3.0,0.0,0.5,11
True,174.0,70.0,178.0,1.25,0,0,0,0,0,2,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,,1.0,0.0,3
True,188.0,100.0,195.6,3.75,4,3,2,0,1,3,20,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,True,True,False,False,True,False,2.5,0.3333333333333333,0.0,9
False,164.0,53.0,170.0,2.25,3,3,0,0,0,3,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,2.0,1.0,0.0,6
True,176.0,60.0,177.0,2.75,3,2,1,0,0,1,10,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,2.6666666666666665,1.0,0.0,7
True,175.0,63.5,180.0,3.75,3,3,3,0,0,3,,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,3.0,0.6666666666666666,0.0,10
